"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","LoggerTemp","External Voltage","GPS Speed dup 1","Altitude","GPS LateralAcc","GPS InlineAcc","GPS Yaw Rate","Luminosity","Max Voltage 1","Min Voltage 1","Reverse","D4 Gate Driver B","D3 Module C","D2 Module B","D1 Module A","D4 RTD3 Temperat","D3 RTD2 Temperat","D2 RTD1 Temperat","D1 Control Board","D4 Torque Shudde","D3 Motor Tempera","D2 RTD5 Temperat","D1 RTD4 Temperat","D4 Analog Input","D2 Analog Input","D6 Analog Input","D3 Analog Input","D1 Analog Input","D5 Analog Input","D5 Digital Input","D2 Digital Input","D1 Digital Input","D6 Digital Input","D4 Digital Input","D3 Digital Input","D7 Digital Input","D8 Digital Input","D4 Delta Resolve","D3 Electrical Ou","D2 Motor Speed","D1 Motor Angle E","D4 DC Bus Curren","D1 Phase A Curre","D3 Phase C Curre","D2 Phase B Curre","D4 VBC Vq Voltag","D3 VAB Vd Voltag","D2 Output Voltag","D1 DC Bus Voltag","D4 Iq","D3 Id","D2 Flux Feedback","D1 Flux Command","D4 Reference Vol","D3 Reference Vol","D2 Reference Vol","D1 Reference Vol","D7 Direction Com","D6 Inverter Enab","D3 Relay 1 Statu","D7 BMS Active","D7 BMS Torque Li","D7 Max Speed Lim","D7 Low Speed Lim","D1 Commanded Tor","D2 Torque Feedba","D4 Iq Command","D3 Id Command","Fast Torque Comm","Fast Torque Feed","Fast Motor Speed","Fast DC Bus Volt","Inverter Enable","Direction Comman","Torque Command","Inverter Dischar","Torque Limit Com","SEG1OV","SEG1UV","SEG1OT","SEG1UT","SEG2OV","SEG2UT","SEG2UV","SEG2OT","SEG3OV","SEG3UV","SEG3OT","SEG3UT","SEG4OV","SEG4UV","SEG4OT","SEG4UT","SEG5OV","SEG5UV","SEG5OT","SEG5UT","SEG6OV","SEG6UV","SEG6OT","SEG6UT","Current","Voltage","RDTActive","Buzzer","D3 HV Input Curr","TSAL Active","BrakeSensor1","BrakeSensor2","APPS1","APPS2","Max Voltage 001","Min Voltage 001","AVG Voltage 001","Max Temperature","Min Temperature","Avg Temperature","Max Location 01","Min Location 01","Pack Voltage","Pack Current","Pack Current 01","Pack Inst Voltag","Average Temperat","High Temperature","Low Temperature","High Cell Voltag","Low Cell Voltage","Maximum Pack Vol","Minimum Cell Vol","Maximum Cell Vol"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","V","km/h","m","g","g","deg/s","%","mV","mV","#","#","#","#","#","°C","°C","°C","#","#","°C","°C","°C","#","#","#","#","#","#","#","#","#","#","#","#","#","#","deg","Hz","rpm","deg","A","A","A","A","mV","mV","mV","mV","A","A","#","#","mV","mV","mV","mV","#","#","#","#","#","#","#","Nm","Nm","A","A","Nm","Nm","rpm","mV","#","#","Nm","#","Nm","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","A","mV","#","#","#","#","bar","bar","%","%","mV","mV","mV","°C","°C","°C","#","#","#","#","A","mV","°C","°C","°C","mV","mV","mV","mV","mV"

"107.050","0.1397","14","0.0000","0.0000","-8.0752","-17.0172","0.0000","324.9489","28.4590","0.1988","10000.0000","40.86316591","-77.83447937","27.7188","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.8438","4226.7998","3959.0430","1.0000","27.3000","23.9881","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.3709","-1000.0000","-1000.0000","4.8700","2.0300","4.8812","4.8612","4.8700","4.8688","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","0.4176","0.0471","0.1000","-0.1412","-0.6294","0.0000","306.0824","-0.4245","0.5353","-18.5420","0.0340","11.5588","5.0488","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.2676","0.0000","0.0000","0.0000","0.5301","0.0000","306.7441","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7195","1.4205","3226.7998","2959.0498","3192.5999","40.6699","27.8800","19.8899","37.0000","10.0000","305.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"107.100","0.1672","14","0.0000","0.0000","-11.6260","-126.4916","0.0000","324.9453","28.3090","0.2188","10000.0000","40.86316594","-77.83447936","27.7188","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.8698","4226.7998","3959.0498","1.0000","27.3000","23.9931","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.3408","-1000.0000","-1000.0000","4.8700","2.0300","4.8837","4.8637","4.8625","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","0.2020","-0.2980","-0.0118","-0.0119","-0.4366","0.0000","306.1881","-0.2324","0.2176","-18.5420","0.0340","11.5593","5.0493","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1471","0.0000","0.0000","0.0000","0.4011","0.0000","306.6011","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7154","1.4246","3226.7998","2959.0498","3192.5999","40.6694","27.8800","19.8894","37.0000","10.0000","305.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"107.150","0.1134","14","0.0000","0.0000","-22.7821","-128.0112","0.0000","324.9446","28.2060","0.1918","10000.0000","40.86316600","-77.83447935","27.7188","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.8958","4226.7998","3959.0498","1.0000","27.3000","23.9981","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.3108","-1000.0000","-1000.0000","4.8700","2.0300","4.8886","4.8686","4.8527","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","-0.1902","-0.6902","-0.1588","0.2356","-0.0901","0.0000","306.4356","0.1108","-0.2725","-18.5420","0.0340","11.5598","5.0498","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0490","0.0000","0.0000","0.0000","0.1323","0.0000","306.3323","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7304","1.4096","3226.7998","2959.0498","3192.5999","40.6689","27.8800","19.8889","37.0000","10.0000","305.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"107.200","0.0544","14","0.0000","0.0000","-34.4237","-122.6400","0.0000","324.9442","28.1060","0.1618","10000.0000","40.86316606","-77.83447934","27.7188","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.9219","4226.7998","3959.0498","1.0000","27.3000","24.0000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9031","0.0000","25.2904","-1000.0000","-1000.0000","4.8700","2.0300","4.8900","4.8700","4.8500","4.8735","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","-0.0176","-0.2706","0.1176","0.1912","-0.5078","0.0000","306.5363","-0.0539","0.1804","-18.5420","0.0340","11.5600","5.0497","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0088","0.0000","0.0000","0.0000","-0.0419","0.0000","306.3946","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7274","1.4054","3226.7998","2959.0498","3192.5999","40.6684","27.8800","19.8884","37.0000","10.0000","305.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"107.250","0.0648","14","0.0000","0.0000","-31.8877","-94.1154","0.0000","324.9438","28.0060","0.1600","10000.0000","40.86316612","-77.83447932","27.7188","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.9375","4226.7998","3959.0498","1.0000","27.3000","24.0000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9081","0.0000","25.2755","-1000.0000","-1000.0000","4.8700","2.0300","4.8900","4.8700","4.8500","4.8784","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","0.3745","0.4647","0.5588","0.0441","-1.1941","0.0000","306.5853","-0.3971","0.9647","-18.5420","0.0340","11.5600","5.0492","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1559","0.0000","0.0000","0.0000","-0.2000","0.0000","306.5075","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.6924","1.4204","3226.7998","2959.0498","3192.5999","40.6679","27.8800","19.8879","37.0000","10.0000","305.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"107.300","0.0796","14","0.0000","0.0000","-28.4467","-64.1129","0.0000","324.9434","27.9060","0.1600","10000.0000","40.86316618","-77.83447931","27.7188","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.9375","4226.7998","3959.0498","1.0000","27.3000","24.0000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9131","0.0000","25.2605","-1000.0000","-1000.0000","4.8733","2.0300","4.8867","4.8667","4.8533","4.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","0.4000","0.6000","0.5000","0.1716","-1.0912","0.0000","306.6686","-0.3971","0.8912","-18.5420","0.0340","11.5600","5.0487","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1653","0.0000","0.0000","0.0000","-0.2000","0.0000","306.8839","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7115","1.3746","3226.7998","2959.0498","3192.5999","40.6674","27.8800","19.8874","37.0000","10.0000","305.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"107.350","0.1202","14","0.0000","0.0000","-15.3686","-58.3306","0.0000","324.9429","27.8060","0.1647","10000.0000","40.86316625","-77.83447930","27.7188","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.9375","4226.7998","3959.0498","1.0000","27.3000","24.0000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9181","0.0000","25.2456","-1000.0000","-1000.0000","4.8782","2.0300","4.8818","4.8618","4.8582","4.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","0.2529","0.4529","0.2059","0.4167","-0.6500","0.0000","306.7667","-0.2500","0.4500","-18.5420","0.0340","11.5600","5.0482","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1158","0.0000","0.0000","0.0000","-0.1828","0.0000","307.1398","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8269","1.2208","3226.7998","2959.0498","3192.5999","40.6669","27.8800","19.8869","37.0000","10.0000","305.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"107.400","0.1624","14","0.0000","0.0000","-1.6753","-54.0942","0.0000","324.9425","27.7060","0.1697","10000.0000","40.86316631","-77.83447929","27.7188","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.9635","4226.7998","3959.0498","1.0000","27.3000","24.0000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9231","0.0000","25.2306","-1000.0000","-1000.0000","4.8800","2.0300","4.8831","4.8631","4.8631","4.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","0.2000","0.4627","0.1627","0.2757","-0.5000","0.0000","306.6398","-0.2000","0.3971","-18.5420","0.0340","11.5600","5.0477","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1000","0.0000","0.0000","0.0000","-0.0753","0.0000","306.7635","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8692","1.1743","3226.7998","2959.0498","3192.5999","40.6664","27.8800","19.8864","37.0000","10.0000","305.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"107.450","0.1484","14","0.0000","0.0000","-7.3185","-23.6286","0.0000","324.9421","27.6060","0.1935","10000.0000","40.86316637","-77.83447927","27.7188","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.9896","4226.7998","3959.0498","1.0000","27.3000","24.0000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9280","0.0000","25.2157","-1000.0000","-1000.0000","4.8800","2.0300","4.8880","4.8680","4.8680","4.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","0.2000","0.5608","0.2608","-0.0641","-0.5000","0.0000","306.3971","-0.2000","0.5441","-18.5420","0.0340","11.5600","5.0472","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1000","0.0000","0.0000","0.0000","0.0484","0.0000","306.4193","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8492","1.2193","3226.7998","2959.0498","3192.5999","40.6659","27.8800","19.8859","37.0000","10.0000","305.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"107.500","0.1309","14","0.0000","0.0000","-14.1959","8.5113","0.0000","324.9417","27.5060","0.2185","10000.0000","40.86316644","-77.83447926","27.7188","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","114.0000","4226.7998","3959.0498","1.0000","27.3000","24.0000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9330","0.0000","25.2007","-1000.0000","-1000.0000","4.8771","2.0300","4.8871","4.8671","4.8671","4.8771","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","0.3471","0.6000","0.5353","0.2118","-0.5000","0.0000","306.5059","-0.2912","0.9951","-18.5420","0.0340","11.5600","5.0467","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1304","0.0000","0.0000","0.0000","0.2097","0.0000","306.1505","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8508","1.1968","3226.7998","2959.0498","3192.5999","40.6654","27.8800","19.8854","37.0000","10.0000","305.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"107.550","0.1482","14","0.0000","0.0000","-11.0455","-2.2264","0.0000","324.9412","27.4060","0.2153","10000.0000","40.86316650","-77.83447925","27.7188","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","114.0000","4226.7998","3959.0498","1.0000","27.3000","24.0000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9380","0.0000","25.1857","-1000.0000","-1000.0000","4.8722","2.0300","4.8822","4.8622","4.8622","4.8722","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","0.5922","0.6000","0.9275","0.8980","-0.5000","0.0000","306.8490","-0.4382","1.6324","-18.5420","0.0340","11.5600","5.0462","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1794","0.0000","0.0000","0.0000","0.3710","0.0000","306.0710","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8708","1.1168","3226.7998","2959.0498","3192.5999","40.6649","27.8800","19.8849","37.0000","10.0000","305.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"107.600","0.1677","14","0.0000","0.0000","-7.2551","-15.7010","0.0000","324.9408","27.3060","0.2103","10000.0000","40.86316656","-77.83447924","27.7188","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","114.0052","4226.7998","3959.0498","1.0000","27.3000","24.0000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9430","0.0000","25.1708","-1000.0000","-1000.0000","4.8700","2.0300","4.8800","4.8600","4.8600","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","0.4529","0.4902","0.6882","0.9505","-0.3059","0.0000","306.8336","-0.3294","1.1892","-18.5420","0.0340","11.5600","5.0457","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1431","0.0000","0.0000","0.0000","0.5323","0.0000","306.2323","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8800","1.1186","3226.7998","2959.0498","3192.5999","40.6644","27.8800","19.8844","37.0000","10.0000","305.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"107.650","0.1806","14","0.0000","0.0000","-4.4914","-27.7373","0.0000","324.9469","27.2060","0.1959","10000.0000","40.86316663","-77.83447924","27.7188","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","114.0312","4226.7998","3959.0498","1.0000","27.3000","24.0000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9480","0.0000","25.1558","-1000.0000","-1000.0000","4.8700","2.0300","4.8800","4.8600","4.8600","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","0.0118","0.2941","-0.0471","0.5050","0.0406","0.0000","306.5366","-0.0353","-0.0363","-18.5420","0.0340","11.5600","5.0452","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0451","0.0000","0.0000","0.0000","0.3505","0.0000","306.5183","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8800","1.1900","3226.7998","2959.0498","3192.5999","40.6639","27.8800","19.8839","37.0000","10.0000","305.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"107.700","0.1931","14","0.0000","0.0000","-1.7934","-39.6817","0.0000","324.9535","27.1060","0.1809","10000.0000","40.86316670","-77.83447924","27.7188","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","114.0573","4226.7998","3959.0498","1.0000","27.3000","24.0000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9530","0.0000","25.1409","-1000.0000","-1000.0000","4.8700","2.0300","4.8825","4.8600","4.8600","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","-0.2255","0.1490","-0.2216","0.2206","0.1206","0.0000","306.3735","0.1529","-0.3882","-18.5420","0.0340","11.5600","5.0447","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0265","0.0000","0.0000","0.0000","-0.0796","0.0000","306.8946","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8548","1.1884","3226.7998","2959.0498","3192.5999","40.6634","27.8800","19.8834","37.0000","10.0000","305.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"107.750","0.1589","14","0.0000","0.0000","2.3345","12.7332","0.0000","324.9580","27.0060","0.1894","10000.0000","40.86316678","-77.83447912","27.7240","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","114.0833","4226.7998","3959.0498","1.0000","27.3000","24.0000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9580","0.0000","25.1259","-1000.0000","-1000.0000","4.8700","2.0300","4.8875","4.8600","4.8600","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","-0.2745","0.0510","0.1216","0.0735","-0.0265","0.0000","306.3245","0.2510","0.0039","-18.5420","0.0340","11.5600","5.0442","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0755","0.0000","0.0000","0.0000","-0.2387","0.0000","306.6516","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8198","1.1584","3226.7998","2959.0498","3192.5999","40.6629","27.8800","19.8829","37.0000","10.0000","305.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"107.800","0.1216","14","0.0000","0.0000","6.5535","69.2561","0.0000","324.9625","26.9060","0.1994","10000.0000","40.86316687","-77.83447899","27.7305","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","114.1094","4226.7998","3959.0498","1.0000","27.3000","24.0000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9630","0.0000","25.1110","-1000.0000","-1000.0000","4.8700","2.0300","4.8876","4.8600","4.8576","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","-0.1824","-0.0706","0.2294","0.1961","-0.0755","0.0000","306.3981","0.1529","0.1755","-18.5420","0.0340","11.5600","5.0437","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0510","0.0000","0.0000","0.0000","-0.2925","0.0000","306.1678","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7942","1.2133","3226.7998","2959.0498","3192.5999","40.6624","27.8800","19.8824","37.0000","10.0000","305.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
